,gene_id,abundance
608,NP_417389.1,2758
609,NP_415293.1,1377
610,NP_416034.1,88
611,NP_417028.1,1439
612,NP_416994.1,2544
613,NP_415797.1,1507
614,NP_416832.1,798
615,NP_415707.1,51
616,NP_416867.1,67
617,NP_414613.1,5119
618,NP_415375.1,3029
619,NP_414544.1,594
620,YP_026215.2,2112
621,NP_418126.1,1075
622,NP_415391.1,316
623,NP_417492.1,47
624,YP_025300.1,144
625,NP_415381.1,9359
626,NP_418647.1,8350
627,NP_415261.2,344
628,NP_414965.1,957
629,NP_417552.1,43
630,NP_417437.1,3446
631,NP_417145.4,56
632,NP_415176.1,540
633,NP_418779.2,77
634,NP_417944.1,179
635,NP_415102.1,217
636,NP_416721.1,2769
637,NP_415340.1,3469
638,NP_415574.1,2094
639,NP_418302.1,1175
640,NP_416221.1,70
641,NP_418071.4,126
642,NP_418793.1,10489
643,NP_415485.4,1847
644,NP_417622.2,288
645,NP_418152.1,511
646,NP_418169.1,1687
647,NP_414754.1,219
648,NP_415467.1,212
649,NP_417738.4,840
650,NP_414665.1,1034
651,NP_417676.2,1274
652,NP_415127.1,243
653,NP_417660.1,1098
654,NP_415209.1,6492
655,NP_414668.1,3642
656,NP_415281.1,233
657,NP_418352.1,1357
658,NP_416371.4,434
659,NP_417022.1,845
660,NP_417573.1,107
661,NP_416292.1,1301
662,NP_415952.2,27
663,NP_417855.4,31
664,NP_415335.1,22443
665,YP_025304.1,14116
666,NP_416578.2,126
667,NP_417399.1,2854
668,NP_417648.4,2449
669,NP_417221.1,219
670,NP_414685.4,43
671,NP_418412.1,34448
672,NP_417698.1,31492
673,NP_417097.1,5503
674,NP_416688.1,1510
675,NP_418017.1,1660
676,NP_416253.1,4610
677,NP_416921.4,122
678,NP_415296.1,366
679,NP_415161.1,437
680,NP_416179.1,746
681,NP_418286.1,643
682,NP_417886.1,135
683,NP_415203.1,282
684,NP_415201.1,1268
685,NP_418021.1,48
686,NP_416294.4,2162
687,NP_417889.1,111
688,NP_418459.1,87
689,NP_418205.1,18
690,NP_418023.1,94
691,NP_416648.1,257
692,NP_414667.4,1285
693,NP_416570.2,192
694,NP_416738.1,449
695,NP_418665.1,19076
696,NP_418675.1,805
697,NP_418437.1,2687
698,NP_414662.1,1780
699,NP_417510.1,386
700,NP_416594.1,128
701,NP_414620.1,1533
702,NP_417912.1,203
703,NP_415763.1,57
704,NP_415552.1,239
705,NP_418368.1,172
706,NP_416616.4,1317
707,NP_418197.1,84
708,NP_417024.1,9431
709,NP_418062.1,148
710,NP_416790.1,305
711,NP_418187.1,10112
712,NP_418578.1,37
713,NP_415896.1,65
714,NP_416538.1,789
715,NP_414705.1,1708
716,NP_414686.3,48
717,NP_414652.1,167
718,NP_416925.2,14
719,YP_026270.1,648
720,NP_416257.1,424
721,YP_026207.1,50
722,NP_415130.1,361
723,NP_415270.1,1385
724,NP_415646.4,821
725,NP_417008.1,1013
726,NP_416218.1,293
727,YP_025305.1,296
728,NP_418491.1,40
729,YP_026268.1,682
730,NP_416418.1,3237
731,NP_415520.1,131
732,NP_415058.1,2305
733,NP_417808.1,19681
734,NP_415025.4,2692
735,NP_417525.1,25
736,NP_414971.1,8821
737,NP_415999.1,7596
738,NP_417536.1,199
739,NP_415438.1,546
740,NP_417222.1,344
741,NP_418088.1,49
742,NP_415468.1,102
743,NP_416374.1,235
744,NP_417856.1,561
745,NP_414950.1,1086
746,NP_417062.1,654
747,NP_415638.2,594
748,NP_417669.1,298
749,NP_418106.1,9115
750,NP_416604.1,65
751,NP_414622.1,148
752,NP_418571.1,17940
753,NP_418624.1,34889
754,NP_418413.1,61706
755,NP_418094.1,9795
756,NP_417761.1,8298
757,NP_418788.1,665
758,NP_418473.3,198
759,NP_416676.4,3519
760,NP_417076.1,1126
761,NP_414715.1,72
762,NP_415128.1,142
763,NP_418405.1,275
764,NP_416818.1,364
765,NP_414903.4,440
766,NP_415348.1,539
767,NP_414594.1,184
768,NP_415793.1,311
769,NP_414949.1,7341
770,NP_417402.1,112
771,NP_416673.1,56
772,NP_417875.1,65
773,NP_414865.1,23
774,NP_418660.1,4
775,NP_416239.1,194
776,NP_418689.1,15
777,NP_418208.1,66
778,NP_416140.1,253
779,NP_415002.1,3061
780,NP_417013.1,11665
781,NP_414713.1,710
782,NP_416528.2,2121
783,NP_416527.1,1575
784,NP_414920.1,549
785,NP_417277.1,37
786,NP_417440.4,86
787,NP_416822.1,456
788,YP_026247.1,2609
789,NP_416429.4,987
790,NP_416004.1,16
791,NP_416009.1,62
792,NP_417412.1,1283
793,NP_418073.1,181
794,NP_415605.2,2340
795,NP_417020.1,2742
796,NP_418380.4,54
797,NP_417824.1,3
798,NP_415132.1,727
799,NP_416361.2,1716
800,NP_416438.1,1666
801,NP_417527.1,273
802,NP_418812.1,365
803,NP_417391.1,625
804,NP_417074.1,901
805,NP_418771.1,34
806,NP_417759.1,651
807,NP_417478.1,368
808,NP_418066.1,16735
809,NP_418304.1,129
810,NP_416583.1,276
811,NP_418348.1,933
812,NP_416125.2,243
813,NP_418107.1,14
814,NP_415103.1,929
815,NP_417497.1,70
816,NP_416769.1,7256
817,NP_415238.1,4327
818,NP_415932.1,240
819,NP_416378.1,792
820,NP_417501.1,610
821,NP_417667.1,1083
822,NP_417011.1,1543
823,NP_417225.1,233
824,NP_417376.1,700
825,NP_415856.1,57
826,NP_417500.1,447
827,NP_415282.1,135
828,NP_416243.1,2230
829,NP_416421.1,803
830,NP_416439.1,23
831,NP_418257.1,247
832,NP_414743.1,91
833,NP_417286.1,122
834,NP_418772.4,165
835,NP_417956.1,302
836,NP_415126.1,92
837,NP_418260.1,276
838,NP_418663.1,65
839,NP_414741.1,1090
840,NP_418068.1,1372
841,NP_417541.1,435
842,NP_418566.1,14801
843,NP_417873.1,3753
844,NP_417298.1,49
845,NP_417815.1,438
846,NP_417411.2,454
