gene_id,abundance
NP_416179.1,746
NP_418286.1,643
NP_417886.1,135
NP_415203.1,282
NP_415201.1,1268
NP_418021.1,48
NP_416294.4,2162
NP_417889.1,111
NP_418459.1,87
NP_418205.1,18
NP_418023.1,94
NP_416648.1,257
NP_414667.4,1285
NP_416570.2,192
NP_416738.1,449
NP_418665.1,19076
NP_418675.1,805
NP_418437.1,2687
NP_414662.1,1780
NP_417510.1,386
NP_416594.1,128
NP_414620.1,1533
NP_417912.1,203
NP_415763.1,57
NP_415552.1,239
NP_418368.1,172
NP_416616.4,1317
NP_418197.1,84
NP_417024.1,9431
NP_418062.1,148
NP_416790.1,305
NP_418187.1,10112
NP_418578.1,37
NP_415896.1,65
NP_416538.1,789
NP_414705.1,1708
NP_414686.3,48
NP_414652.1,167
NP_416925.2,14
YP_026270.1,648
NP_416257.1,424
YP_026207.1,50
NP_415130.1,361
NP_415270.1,1385
NP_415646.4,821
NP_417008.1,1013
NP_416218.1,293
YP_025305.1,296
NP_418491.1,40
YP_026268.1,682
NP_416418.1,3237
NP_415520.1,131
NP_415058.1,2305
NP_417808.1,19681
NP_415025.4,2692
NP_417525.1,25
NP_414971.1,8821
NP_415999.1,7596
NP_417536.1,199
NP_415438.1,546
NP_417222.1,344
NP_418088.1,49
NP_415468.1,102
NP_416374.1,235
NP_417856.1,561
NP_414950.1,1086
NP_417062.1,654
NP_415638.2,594
NP_417669.1,298
NP_418106.1,9115
NP_416604.1,65
NP_414622.1,148
NP_418571.1,17940
NP_418624.1,34889
NP_418413.1,61706
NP_418094.1,9795
NP_417761.1,8298
NP_418788.1,665
NP_418473.3,198
NP_416676.4,3519
NP_417076.1,1126
NP_414715.1,72
NP_415128.1,142
NP_418405.1,275
NP_416818.1,364
NP_414903.4,440
NP_415348.1,539
NP_414594.1,184
NP_415793.1,311
NP_414949.1,7341
NP_417402.1,112
NP_416673.1,56
NP_417875.1,65
NP_414865.1,23
NP_418660.1,4
NP_416239.1,194
NP_418689.1,15
NP_418208.1,66
NP_416140.1,253
NP_415002.1,3061
NP_417013.1,11665
NP_414713.1,710
NP_416528.2,2121
NP_416527.1,1575
NP_414920.1,549
NP_417277.1,37
NP_417440.4,86
NP_416822.1,456
YP_026247.1,2609
NP_416429.4,987
NP_416004.1,16
NP_416009.1,62
NP_417412.1,1283
NP_418073.1,181
NP_415605.2,2340
NP_417020.1,2742
NP_418380.4,54
NP_417824.1,3
NP_415132.1,727
NP_416361.2,1716
NP_416438.1,1666
NP_417527.1,273
NP_418812.1,365
NP_417391.1,625
NP_417074.1,901
NP_418771.1,34
NP_417759.1,651
NP_417478.1,368
NP_418066.1,16735
NP_418304.1,129
NP_416583.1,276
NP_418348.1,933
NP_416125.2,243
NP_418107.1,14
NP_415103.1,929
NP_417497.1,70
NP_416769.1,7256
NP_415238.1,4327
NP_415932.1,240
NP_416378.1,792
NP_417501.1,610
NP_417667.1,1083
NP_417011.1,1543
NP_417225.1,233
NP_417376.1,700
NP_415856.1,57
NP_417500.1,447
NP_415282.1,135
NP_416243.1,2230
NP_416421.1,803
NP_416439.1,23
NP_418257.1,247
NP_414743.1,91
NP_417286.1,122
NP_418772.4,165
NP_417956.1,302
NP_415126.1,92
NP_418260.1,276
NP_418663.1,65
NP_414741.1,1090
NP_418068.1,1372
NP_417541.1,435
NP_418566.1,14801
NP_417873.1,3753
NP_417298.1,49
NP_417815.1,438
NP_417411.2,454
NP_414634.1,511
NP_417188.4,55
NP_415727.1,256
NP_416296.1,3328
NP_414720.1,8224
NP_416520.1,327
NP_415841.4,102
NP_416680.1,1782
NP_418157.1,66
NP_418156.1,577
NP_416664.1,205
NP_418483.1,3612
NP_415432.1,5360
NP_417491.1,125
NP_415705.1,186
NP_418813.1,102
NP_416159.2,785
NP_418558.2,520
NP_417314.1,64
NP_417026.1,7687
NP_417169.1,1085
NP_416135.1,139
NP_418592.1,80
NP_417636.1,1535
NP_417760.1,6986
NP_417774.1,49717
NP_418371.1,8141
NP_417635.1,77
NP_415651.4,500
NP_417099.4,776
NP_418601.1,471
NP_417085.1,391
NP_416101.1,90
NP_416821.1,45
NP_418664.2,9263
NP_415474.1,2067
NP_414722.1,4930
NP_415930.1,802
NP_415787.1,319
NP_417319.1,52
NP_417059.1,645
NP_416384.1,556
NP_414959.1,25
NP_417513.1,371
NP_417887.1,331
NP_416743.1,53
NP_416410.1,199
NP_415717.1,95
NP_416672.1,172
NP_416596.1,6458
NP_416597.1,5671
NP_418036.1,10
NP_415430.1,950
NP_414773.1,3383
NP_415055.1,227
NP_418748.1,223
NP_415184.1,143
NP_414571.1,42
NP_417848.1,305
NP_416219.1,300
NP_416967.1,74
NP_416529.1,1029
NP_417315.1,726
NP_415577.1,813
NP_414663.1,1040
NP_417692.1,81
NP_417911.4,220
NP_415644.1,249
NP_416633.1,118
NP_418324.1,134
NP_417920.1,250
NP_415410.1,33
NP_415692.1,2057
NP_415442.1,54
NP_417820.1,283
NP_415210.1,8651
NP_415279.1,151
NP_417279.2,41
NP_415492.1,1
NP_415816.1,116
NP_415898.1,566
NP_417079.1,17
NP_414838.2,18
NP_418586.4,509
NP_415500.1,9
NP_414755.1,1704
NP_417905.1,107
NP_418010.2,1714
NP_416802.1,1419
NP_415567.1,84
YP_026253.1,116
NP_415941.5,93
NP_414701.1,2180
NP_415635.4,500
NP_418770.2,4
NP_414669.1,272
NP_415434.1,152
NP_418280.4,2477
NP_417479.1,819
NP_417063.1,147
NP_414943.1,465
NP_417306.1,42
NP_416720.1,33
NP_418774.2,14
NP_415222.1,59
NP_415113.1,53
NP_415425.4,437
NP_415697.4,127
NP_415774.1,270
NP_416054.1,110
NP_416183.1,42
NP_416301.1,438
NP_416360.1,480
NP_416584.4,386
NP_417397.1,948
NP_417496.1,1669
NP_418295.1,2511
NP_415105.1,29517
NP_417274.1,59
NP_416608.1,494
NP_417639.6,609
NP_418655.1,166
NP_417514.4,1520
NP_418363.1,10839
NP_416989.1,177
NP_416713.1,214
NP_417695.1,353
NP_415212.1,204
NP_415287.1,352
NP_416803.3,907
NP_416807.1,95
NP_417426.1,208
NP_417896.1,81
NP_417984.1,116
NP_417650.1,418
NP_415487.4,172
NP_414958.4,370
NP_416970.1,126
NP_417619.1,754
NP_417577.1,33
YP_026267.1,854
NP_415586.1,39
NP_417230.1,834
NP_417950.1,208
NP_416173.1,4213
NP_416163.1,346
NP_418628.4,4381
NP_415422.1,189
NP_417083.1,119
NP_416804.1,191
NP_418049.1,637
NP_418228.2,20951
NP_417207.1,24
NP_416280.1,53
NP_416400.1,2
NP_416178.1,71
NP_415708.1,28
NP_416544.1,761
NP_417963.4,552
NP_417981.2,16
YP_026228.1,344
NP_418583.1,14
NP_415768.1,108
YP_026237.1,9
NP_416181.1,85
NP_414968.4,4572
NP_414998.1,7
NP_415618.1,43
NP_417213.1,39
NP_415213.1,1357
NP_414793.1,56
NP_417540.1,241
NP_417368.1,5
NP_417423.4,410
NP_418373.1,990
NP_417689.4,7
NP_415338.1,148
NP_414947.1,211
NP_414806.1,37
NP_415722.1,733
NP_417775.1,19008
NP_417537.1,28385
NP_417098.1,121
NP_414600.1,118
NP_415783.6,706
NP_417713.2,85
NP_417721.1,2574
NP_417321.2,19
NP_417594.3,27
NP_415295.1,139
NP_417644.4,223
NP_416765.1,558
NP_415304.1,316
NP_416155.1,302
NP_414566.1,160
NP_416931.1,116
NP_414948.1,194
NP_416437.1,109
NP_416364.1,3635
NP_418725.4,5
NP_414805.1,25
NP_417082.1,124
NP_417597.1,9
NP_418360.1,187
NP_417983.2,547
NP_416033.1,85
NP_418028.1,23
NP_416910.1,24850
NP_418535.1,268
NP_417671.1,861
NP_418588.1,48
NP_418105.1,437
NP_415616.1,204
NP_416997.1,31
NP_417429.1,677
NP_418064.1,400
NP_416281.1,554
NP_414802.2,42
NP_416793.1,100
NP_416880.1,93
NP_416262.1,44
NP_415330.1,698
NP_415349.1,67
NP_415845.2,67
NP_417163.1,29
NP_415958.1,24
NP_418070.6,57
NP_418329.1,4
NP_418065.1,327
NP_416784.1,294
NP_416167.1,99
NP_415406.1,77
NP_415407.1,60
,1960
NP_418461.1,240
NP_416127.1,18
NP_415386.1,1344
NP_417568.2,503
NP_418820.1,70
NP_418301.3,1218
NP_417292.1,48
NP_417170.1,44
NP_415806.1,30
NP_415316.1,81
NP_418144.3,107
YP_026277.1,328
NP_414591.1,57
NP_417066.1,91
NP_418305.1,66
NP_417262.1,227
NP_416409.1,260
NP_418358.1,320
NP_416697.1,251
NP_416346.4,1051
NP_415014.1,519
NP_415773.1,309
NP_416298.1,20
NP_416490.1,2098
NP_416484.2,431
NP_415445.1,65
NP_418346.2,74
NP_418427.1,100
NP_416193.1,516
NP_418290.4,108
NP_418480.1,200
NP_418811.2,415
NP_414644.1,294
NP_418321.4,131
NP_418479.1,84
NP_418593.1,1514
NP_416036.1,97
NP_417711.1,371
NP_415294.1,316
NP_415573.1,67
NP_416348.2,10
NP_416678.1,55
NP_416693.1,24
NP_416796.2,1220
NP_417558.2,186
NP_417451.1,148
NP_417810.1,115
NP_416923.1,39
NP_417632.1,299
NP_414978.1,306
NP_418202.4,33
NP_415447.1,842
